id,name,type,category,city,description,heat_score,rating_score,tag_json,cover_url,status,created_at,lng_lat
10,北京环球度假区,scenic,主题乐园,北京市,北京环球度假区是一个广受欢迎的主题公园旅游目的地，以全新精选景区为主打，网罗全世界环球主题公园人气最高的娱乐设施和景点。,10,4.5,主题公园|亲子互动|休闲度假|住宿|侏罗纪|功夫熊猫|变形金刚|哈利波特|好莱坞|娱乐休闲|小黄人|度假村|度假胜地|未来水世界|沉浸式体验|游乐设施|电影IP|网红打卡,https://r1.visitbeijing.com.cn/vbj-s/2023/1214/3360bad8f05d14b393ffe512f4eb994f.jpg,1,,
11,齐白石旧居纪念馆,scenic,纪念馆/名人故居,北京市,齐白石旧居纪念馆位于北京市东城区雨儿胡同13号院，是一座建于清代中期的四合院建筑，为北京市东城区文物保护单位。,3.5,4.5,名人故居|纪念馆|艺术文化,https://r1.visitbeijing.com.cn/vbj-s/2020/0509/20200509031009711.jpg,1,,
12,北京天桥艺术中心,scenic,演艺剧场,北京市,天桥艺术中心是一个现代化的剧场群，包括一个1600座的综合性大剧场，一个1000座的中剧场，一个400座的小剧场和一个300座的多功能剧场。,3.3,4.6,演艺剧场|文化体验|艺术展览|音乐剧|话剧|舞剧|现代化剧场群|中轴线文化|国际艺术交流,https://r1.visitbeijing.com.cn/vbj-s/2020/0507/20200507031717658.jpg,1,,
13,北京世园公园,scenic,城市公园,北京市,北京世园公园以“永不落幕的世园会”为目标，重点打造国家级生态文明示范基地、生态旅游和休闲度假目的地、冬奥服务保障基地和园艺产业创新展示基地，开展研学、文化、教育、音乐等一系列活动。,1.5,4.7,休闲娱乐|城市公园,https://r1.visitbeijing.com.cn/vbj-s/2020/0617/20200617022958628.jpg,1,,
14,奥林匹克森林公园,scenic,城市公园,北京市,奥林匹克森林公园正在以浓浓的绿意和醉人的花香向社会各界人士展露“芳容”。,5,4.7,体育场馆|地标建筑|奥运遗产|森林公园|自然生态|运动健身,https://r1.visitbeijing.com.cn/vbj-s/2020/0508/20200508041700898.jpg,1,,
15,富国海底世界,scenic,博物馆/展览馆,北京市,富国海底世界是寓教于乐的海底主题乐园。这里有8000吨水体，6000多尾珍奇海洋生物，10几种体型巨大而凶猛的鲨鱼，120米的超长全景观海底隧道，带您展开一场非凡的海底之旅！,5.3,4,五星水族馆|亲子互动|人鲨共舞|水下芭蕾|水族馆|海底隧道|海洋生物|海洋科普|海洋馆|海狮表演|科普教育|美人鱼表演|鲨鱼,https://r1.visitbeijing.com.cn/vbj-s/2017/1117/20171117112744413.jpg,1,,
16,古北水镇,scenic,历史古迹,北京市,古北水镇位于北京市密云区古北口镇，背靠中国最美、最险的司马台长城，坐拥鸳鸯湖水库，是京郊罕见的山水城结合的自然古村落。,6.9,4.7,国际旅游度假区|北方水镇|休闲度假|司马台长城|夜景|温泉|民宿|文化体验|5A景区|世界遗产,https://r1.visitbeijing.com.cn/vbj-s/2018/0710/20180710103648310.jpg,1,,
17,西白莲峪段长城,scenic,历史古迹,北京市,西白莲峪村位于冯家峪境内，紧邻独秀峰，风光秀丽，生态使然。,8.1,3.9,世界遗产|摄影打卡|登山徒步|长城段,https://r1.visitbeijing.com.cn/vbj-s/2017/0605/20170605032556473.jpg,1,,
18,挂甲峪旅游度假村,scenic,度假休闲,北京市,挂甲峪旅游度假村被评为”北京市最美丽的乡村”。,1.7,4.4,休闲度假|住宿|度假村,https://r1.visitbeijing.com.cn/vbj-s/2017/0606/20170606034604326.jpg,1,,
19,法国邮政局旧址,scenic,历史古迹,北京市,法国邮政局旧址，北京市级文物保护单位。位于东城区东交民巷路北侧。,1.8,4.4,东交民巷|中西合璧|使馆区|免费景点|历史建筑|摄影打卡|民国风|西洋建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2018/0108/20180108054204462.jpg,1,,
20,皇极殿,scenic,历史古迹,北京市,皇极殿是宁寿宫区的主体建筑，始建于清康熙二十八年(1689年)，初名宁寿宫。,1.6,4.7,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0921/20170921044411869.jpg,1,,
21,神武门,scenic,历史古迹,北京市,神武门是紫禁城的北门，也是故宫的出口。,3.8,4.8,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0921/20170921043039917.jpg,1,,
22,乾清门,scenic,历史古迹,北京市,乾清门为紫禁城内廷的正宫门。建于明永乐十八年（1420年），清顺治十二年（1655年）重修。,2.7,4.7,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0920/20170920065234465.jpg,1,,
23,午门,scenic,历史古迹,北京市,午门是紫禁城的正门，位于紫禁城南北轴线。,5.2,4.9,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0920/20170920043920593.jpg,1,,
