id,food_id,user_id,parent_comment_id,content_text,media_url,like_count,reply_count,status,created_at,updated_at
1,1,107,1,禾家中餐厅更像酒店餐厅，价格偏高，胜在不用出园区找饭。,,21,0,1,2026/4/5 1:16,2026/4/5 1:16
2,1,156,1,价格是真贵，但环球里面也没太多选择。菜的水平对得起这个价位吧，环境加分。,,15,0,1,2026/5/24 4:48,2026/5/24 4:48
3,2,118,3,全聚德环球城市大道店位置方便，烤鸭味道稳定，就是饭点人会多。,,20,0,1,2026/4/3 22:47,2026/4/3 22:47
4,2,163,3,第一次带外地朋友来北京吃烤鸭就选的全聚德，没丢人。鸭子皮脆肉嫩，朋友说比他们那的好吃多了。,,13,0,1,2026/5/9 15:03,2026/5/9 15:03
5,2,166,5,说实话现在全聚德很多分店质量参差不齐，这家属于发挥正常的。面饼给得少，加一份要八块。,,22,0,1,2026/3/4 12:16,2026/3/4 12:16
6,3,128,5,穿越外婆家走的是网红路线，龙井虾仁摆盘好看，味道嘛就是那回事。适合拍照发圈。,,21,0,1,2026/6/8 5:14,2026/6/8 5:14
7,3,116,7,外婆家的菜就是稳定，不会踩大雷也不会有惊喜。虾仁还是挺嫩的，龙井味淡了那么一点点。,,17,0,1,2026/6/11 17:25,2026/6/11 17:25
8,4,156,7,锣鼓洞天这家卤煮可以的，就是南锣那边人太多了，饭点要等好久。肥肠洗得干净，没有怪味。,,0,0,1,2026/4/2 7:14,2026/4/2 7:14
9,4,158,9,第一次吃卤煮就给的这家，从此入坑。洗得干净，汤底浓郁，天冷的时候来一碗整个人都暖了。,,0,0,1,2026/6/10 10:05,2026/6/10 10:05
10,4,181,9,怎么说呢，南锣这边游客太多，出品有时候看运气。我上回来吃的肠给得特别多，这次就明显少了。,,0,0,1,2026/5/21 20:05,2026/5/21 20:05
11,5,137,11,方砖厂炸酱面名气大，小酥肉是意外惊喜——比招牌炸酱面还让我满意。面码丰富，辣椒油加分。,,0,0,1,2026/3/27 4:27,2026/3/27 4:27
12,5,176,11,炸酱可以再咸一点，我个人口味偏重。不过面是手擀的这点吃出来了，劲道。,,1,0,1,2026/5/6 13:07,2026/5/6 13:07
13,6,106,13,李记羊肉串在南锣那片是排队王，肉是好肉但也不至于排那么久。十块钱一串性价比一般吧。,,0,0,1,2026/4/2 19:20,2026/4/2 19:20
14,6,172,13,路过看到排队就跟着排了……味道还行，肉是真的大块，但也就那样。不排队可以买。,,1,0,1,2026/2/22 19:15,2026/2/22 19:15
15,7,178,15,北平咖啡的覆盆子挞酸酸甜甜的，配上他家的手冲刚好。南锣这边逛累了歇脚的好地方。,,0,0,1,2026/4/11 19:53,2026/4/11 19:53
16,8,153,15,大海碗天桥店，卤煮和饺子都试了。饺子是手工包的能看出来，卤煮味儿足但偏咸一点点。,,0,0,1,2026/1/15 5:12,2026/1/15 5:22
17,9,106,17,灯堂咖啡在天桥附近算不错的了，冰美式中规中矩，胜在人少安静。看剧前来一杯正好。,,0,0,1,2026/3/18 5:50,2026/3/18 6:02
18,10,146,17,天桥艺术·咖啡与茶就在剧场旁边，地理位置是最大优势。饮品水平一般，但看剧前后喝一杯方便。,,0,0,1,2026/6/9 15:44,2026/6/9 15:44
19,11,154,19,合乐多味食堂属于那种附近上班族吃便餐的地方，寿司就不要期待太高了。胜在出餐快价格还行。,,1,0,1,2026/3/31 8:46,2026/3/31 8:46
20,12,127,19,大海碗天坛店，炸灌肠做得挺地道的，蒜汁是灵魂。就是油大，吃多会觉得腻。,,0,0,1,2026/3/30 14:35,2026/3/30 14:35
21,13,135,21,菘菘这家是那种适合朋友聚会的音乐餐吧，驻唱水平忽高忽低不过氛围还行。菜就那样别抱期望。,,0,0,1,2026/2/1 19:27,2026/2/1 19:27
22,14,173,21,渔蓝海鲜火锅在首都宾馆里，环境没得说。海鲜新鲜度不错，就是价格不太友好。约会或者请客可以选。,,3,0,1,2026/4/1 14:41,2026/4/1 14:41
23,14,9,23,冲着海鲜火锅来的，汤底很鲜，虾端上来还在动。两个人吃了快四百，偶尔犒劳自己一下还行。,,1,0,1,2026/5/4 20:55,2026/5/4 20:55
24,15,114,23,隆和居在正义路那边，干锅千页豆腐做得还不错，就是量少。一个人去吃不太划算。,,3,0,1,2026/2/23 4:06,2026/2/23 4:06
25,16,154,25,松鹤楼台基厂店的松鼠桂鱼摆盘挺漂亮，鱼肉外酥里嫩，酸甜汁调得比较顺口。两三个人一起点更合适，一个人吃容易腻。,,3,0,1,2026/6/11 19:12,2026/6/11 19:12
26,17,164,25,君庭中餐厅在首都宾馆里面环境自然不用多说。包间宽敞安静请客很有面子。菜品走精致路线牛肉做得嫩滑入味。服务专业到位点菜时会根据人数建议。价格不低但商务宴请选这里稳妥。,,3,0,1,2026/6/1 15:36,2026/6/1 15:36
27,18,122,27,食鼎轩台基厂店的烤鸭皮酥肉嫩鸭架可以椒盐或做汤。干炸丸子和宫保鸡丁也是每次必点的菜。环境干净整洁，台基厂这边家庭聚餐的好地方，价格公道不宰客。,,3,0,1,2026/6/9 13:17,2026/6/9 13:17
28,19,172,27,奥华餐厅老张记是天津菜馆，虾仁独面筋面筋吸饱汤汁咬下去汁水四溢，红烧牛尾炖得烂乎入味。开了好多年回头客多菜量大实在。,,1,0,1,2026/3/6 19:06,2026/3/6 19:06
29,3,109,29,外婆家的环境确实好，西湖边的感觉。就是这个店在景区旁边所以排队排到崩溃。,,14,0,1,2026/4/4 1:21,2026/4/4 1:21
30,21,158,29,山西面馆川湘菜在景山那边，环境和菜品都比预想的好一些。川菜比山西面做得好，面食有点硬。,,23,0,1,2026/5/26 23:23,2026/5/26 23:23
31,23,113,31,良苑烤鸭店在前门地段算性价比高的，游客多，本地人反而少。烤鸭没全聚德那么肥，更对我的口味。,,3,0,1,2026/3/2 19:33,2026/3/2 19:33
32,24,95,31,隆和居这家干锅千页豆腐是附近几个单位同事的食堂级别存在，味道稳定不踩雷。米饭管饱。,,2,0,1,2026/4/20 15:43,2026/4/20 15:43
33,24,24,33,我连着来了三天就为吃这口千页豆腐。锅气够，底下的小火一直烧着越吃越有味。,,2,0,1,2026/2/25 0:42,2026/2/25 0:42
34,25,100,33,松鹤楼的松鼠桂鱼造型漂亮，酸甜汁调得刚好。就是油炸的吃多了容易腻，建议配个青菜。,,2,0,1,2026/5/14 8:53,2026/5/14 8:53
