name,detail_url,desc,address,tags,image
北京环球度假区,https://s.visitbeijing.com.cn/attraction/120985,北京环球度假区是一个广受欢迎的主题公园旅游目的地，以全新精选景区为主打，网罗全世界环球主题公园人气最高的娱乐设施和景点。,北京市通州区梨园镇东六环与G1京哈告诉交叉口西北角,特色游,https://r1.visitbeijing.com.cn/vbj-s/2023/1214/3360bad8f05d14b393ffe512f4eb994f.jpg
齐白石旧居纪念馆,https://s.visitbeijing.com.cn/attraction/120983,齐白石旧居纪念馆位于北京市东城区雨儿胡同13号院，是一座建于清代中期的四合院建筑，为北京市东城区文物保护单位。,北京市东城区雨儿胡同13号院,特色游,https://r1.visitbeijing.com.cn/vbj-s/2020/0509/20200509031009711.jpg
北京天桥艺术中心,https://s.visitbeijing.com.cn/attraction/120982,天桥艺术中心是一个现代化的剧场群，包括一个1600座的综合性大剧场，一个1000座的中剧场，一个400座的小剧场和一个300座的多功能剧场。,北京市西城区天桥南大街9号楼（100050）,特色游,https://r1.visitbeijing.com.cn/vbj-s/2020/0507/20200507031717658.jpg
北京世园公园,https://s.visitbeijing.com.cn/attraction/120984,北京世园公园以“永不落幕的世园会”为目标，重点打造国家级生态文明示范基地、生态旅游和休闲度假目的地、冬奥服务保障基地和园艺产业创新展示基地，开展研学、文化、教育、音乐等一系列活动。,北京市延庆区世园公园,休闲娱乐 | 特色游 | 赏花 | 红叶 | 银杏,https://r1.visitbeijing.com.cn/vbj-s/2020/0617/20200617022958628.jpg
奥林匹克森林公园,https://s.visitbeijing.com.cn/attraction/117725,奥林匹克森林公园正在以浓浓的绿意和醉人的花香向社会各界人士展露“芳容”。,北京市朝阳区北辰东路15号,特色游 | 踏青 | 赏花 | 漂流 | 避暑,https://r1.visitbeijing.com.cn/vbj-s/2020/0508/20200508041700898.jpg
富国海底世界,https://s.visitbeijing.com.cn/attraction/101915,富国海底世界是寓教于乐的海底主题乐园。这里有8000吨水体，6000多尾珍奇海洋生物，10几种体型巨大而凶猛的鲨鱼，120米的超长全景观海底隧道，带您展开一场非凡的海底之旅！,北京市朝阳区工人体育场南门,休闲娱乐 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/1117/20171117112744413.jpg
古北水镇,https://s.visitbeijing.com.cn/attraction/120979,古北水镇位于北京市密云区古北口镇，背靠中国最美、最险的司马台长城，坐拥鸳鸯湖水库，是京郊罕见的山水城结合的自然古村落。,北京市密云区古北口镇司马台村,特色游 | 温泉,https://r1.visitbeijing.com.cn/vbj-s/2018/0710/20180710103648310.jpg
西白莲峪段长城,https://s.visitbeijing.com.cn/attraction/120642,西白莲峪村位于冯家峪境内，紧邻独秀峰，风光秀丽，生态使然。,北京市密云区冯家峪镇西白莲峪民俗村,特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0605/20170605032556473.jpg
挂甲峪旅游度假村,https://s.visitbeijing.com.cn/attraction/120649,挂甲峪旅游度假村被评为”北京市最美丽的乡村”。,北京市平谷区大华山镇挂甲峪村,休闲娱乐 | 温泉,https://r1.visitbeijing.com.cn/vbj-s/2017/0606/20170606034604326.jpg
法国邮政局旧址,https://s.visitbeijing.com.cn/attraction/120959,法国邮政局旧址，北京市级文物保护单位。位于东城区东交民巷路北侧。,北京市东城区东交民巷路19号,休闲娱乐 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2018/0108/20180108054204462.jpg
皇极殿,https://s.visitbeijing.com.cn/attraction/120920,皇极殿是宁寿宫区的主体建筑，始建于清康熙二十八年(1689年)，初名宁寿宫。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0921/20170921044411869.jpg
神武门,https://s.visitbeijing.com.cn/attraction/120919,神武门是紫禁城的北门，也是故宫的出口。,北京市东城区景山前街4号,特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0921/20170921043039917.jpg
乾清门,https://s.visitbeijing.com.cn/attraction/120917,乾清门为紫禁城内廷的正宫门。建于明永乐十八年（1420年），清顺治十二年（1655年）重修。,北京市东城区景山前街4号,特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0920/20170920065234465.jpg
午门,https://s.visitbeijing.com.cn/attraction/120916,午门是紫禁城的正门，位于紫禁城南北轴线。,北京市东城区景山前街4号,特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0920/20170920043920593.jpg
西打磨厂街,https://s.visitbeijing.com.cn/attraction/120914,西打磨厂街是一条坐落于前门东区的老街，全长1145米，宽5到8米。,北京市东城区前门街道西打磨厂街,特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0919/20170919041557646.jpg
正阳美术馆,https://s.visitbeijing.com.cn/attraction/120850,正阳美术馆位于北京市正阳门外的前门大街上。,北京市正阳门外前门大街,休闲娱乐,https://r1.visitbeijing.com.cn/vbj-s/2017/0825/20170825052237710.jpg
红星源升号博物馆,https://s.visitbeijing.com.cn/attraction/120840,红星源升号博物馆坐落于北京市前门大街99号（原粮食店街40号）。,北京市前门大街99号（原粮食店街40号）,博物馆 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0824/20170824032746374.jpg
御花园,https://s.visitbeijing.com.cn/attraction/120832,御花园位于北京紫禁城中轴线上，坤宁宫后方，明代称为宫后苑，清代称御花园。,北京市东城区景山前街4号,遗产古迹 | 特色游 | 踏青 | 赏花,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821042151859.jpg
坤宁宫,https://s.visitbeijing.com.cn/attraction/120831,坤宁宫为中国古代宫殿建筑之精华。属于北京故宫内廷后三宫之一，位于交泰殿后面。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821035417422.jpg
保和殿,https://s.visitbeijing.com.cn/attraction/120830,保和殿是中国传统宫殿建筑之精华，属于北京故宫中的一座殿宇式建筑。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821033109142.jpg
中和殿,https://s.visitbeijing.com.cn/attraction/120829,中和殿是北京故宫外朝三大殿之一，属于中国传统宫殿建筑之精华。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821031350544.jpg
交泰殿,https://s.visitbeijing.com.cn/attraction/120828,交泰殿是一处历史悠久的汉族宫殿建筑，属于北京故宫内廷后三宫之一，位于乾清宫和坤宁宫之间。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818053628779.jpg
养心殿,https://s.visitbeijing.com.cn/attraction/120827,养心殿是历史悠久的汉族宫殿建筑，始建于明代嘉靖年间，位于内廷乾清宫西侧。清代有八位皇帝先后居住在养心殿。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818045621545.jpg
太和殿,https://s.visitbeijing.com.cn/attraction/120826,太和殿俗称金銮殿，为中国古代宫殿建筑之精华，东方三大殿之一。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818041313207.jpg
乾清宫,https://s.visitbeijing.com.cn/attraction/120825,乾清宫是内廷正殿，即民间所谓“后三宫（乾清宫、交泰殿、坤宁宫）中的第一座宫殿。,北京市东城区景山前街4号,遗产古迹 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818035252160.jpg
明皇城东安门遗址,https://s.visitbeijing.com.cn/attraction/120820,东皇城墙始建于明永乐十八年（1420年）墙为南北走向，正对紫禁城东华门设东安门。,北京市东城区东华门大街,特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0817/20170817061246535.jpg
袁崇焕祠墓,https://s.visitbeijing.com.cn/attraction/120813,袁崇焕祠墓是为纪念明末清初抗清将领袁崇焕所修建，包括墓碑、祠堂、庙宇等一系列纪念建筑。,北京市东城区东花市斜街（原是广东义园旧址）,休闲娱乐 | 特色游,https://r1.visitbeijing.com.cn/vbj-s/2017/0816/20170816054948910.jpg
