id,destination_id,user_id,parent_comment_id,content_text,media_url,like_count,reply_count,status,created_at,updated_at
1,10,49,1,环球里面的动线比我想象中清楚，热门项目还是建议一早进去排。,,0,0,1,2026/3/20 17:38,2026/3/20 17:38
2,10,39,1,晚上离开北京环球度假区时灯光很好看，就是回地铁的人会比较多。,,0,0,1,2026/3/10 8:15,2026/3/10 8:15
3,14,102,3,奥森跑步和散步都方便，南园人多一些，北园安静很多。,,0,0,1,2026/5/20 19:51,2026/5/20 19:51
4,14,161,3,奥林匹克森林公园面积很大，第一次去最好提前定好入口和集合点。,,0,0,1,2026/5/14 23:01,2026/5/14 23:01
5,126,23,5,紫竹院公园的水面和竹林很舒服，夏天去会比市区街边凉快。,,2,0,1,2026/6/8 1:25,2026/6/8 1:25
6,126,120,5,紫竹院适合慢慢走，湖边座位不算多，周末要早点去。,,0,0,1,2026/3/22 19:21,2026/3/22 19:21
7,251,126,7,天安门广场安检和预约都要提前确认，现场空间感很震撼。,,1,0,1,2026/4/19 4:05,2026/4/19 4:05
8,251,171,7,傍晚从广场往长安街看很有仪式感，但拍照要注意人流方向。,,2,0,1,2026/4/2 19:59,2026/4/2 19:59
9,815,73,9,全国农业展览馆主要是看展，场馆之间距离不远，走起来不累。,,3,0,1,2026/5/23 21:56,2026/5/23 21:56
10,815,97,9,农展馆周边吃饭选择不少，看完展顺路解决晚饭很方便。,,9,0,1,2026/3/2 18:08,2026/3/2 18:08
11,1306,132,11,人大校园树很多，东西向道路比较直，第一次来不太容易迷路。,,2,2,1,2026/6/6 18:36,2026/6/6 18:36
12,1306,126,11,人大逛起来不算累，从东门进去一路树荫多，夏天中午也没那么晒。,,0,0,1,2026/5/22 21:57,2026/5/22 22:52
13,1307,40,13,清华校园太大了，骑车会轻松很多，单靠步行要预留时间。,,17,0,1,2026/4/12 22:37,2026/4/12 22:37
14,1307,126,13,清华的主干路很清楚，但院系楼之间的小路最好跟着地图走。,,0,2,1,2026/5/3 13:52,2026/5/3 13:52
15,1308,163,15,北大校园景观密度很高，未名湖附近值得多留一点时间。,,0,0,1,2026/2/19 15:42,2026/2/19 15:49
16,1308,43,15,北京大学里面岔路不少，想拍照的话建议先确定几个点再走。,,1,0,1,2026/5/19 13:48,2026/5/19 13:48
17,1309,49,17,北体校园运动氛围很强，场馆区域和教学区分得比较明显。,,0,0,1,2026/4/17 13:02,2026/4/17 13:02
18,1309,35,17,北体一进门就能感觉到运动氛围，路上经常能碰到训练的学生。,,6,3,1,2026/5/25 19:30,2026/5/25 19:30
19,1310,20,19,中农食堂和教学楼隔得不远，饭点那会儿路上学生特别多。,,0,0,1,2026/2/26 10:26,2026/2/26 10:42
20,1310,50,19,中农周边不吵，校里几个主路口走两次就记住了。,,5,0,1,2026/2/14 19:24,2026/2/15 10:53
21,1312,74,21,北师大校园不算夸张大，但楼和院之间的细路挺多。,,3,0,1,2026/5/17 14:05,2026/5/17 14:05
22,1312,15,21,北京师范大学靠近地铁，串进海淀高校一日行程很顺。,,1,0,1,2026/2/15 19:59,2026/2/15 19:59
23,1313,65,23,本部就在西土城路10号，地方确实不大，但在三环里吃饭出门都省事。,,0,0,1,2026/5/30 18:47,2026/5/30 18:47
24,1313,7,23,西土城离地铁站不算近，这点不少人吐槽；但周边学校和店多，生活气比沙河足。,,1,0,1,2026/5/21 12:04,2026/5/21 12:04
25,1316,62,25,北交进门以后比校外安静不少，走到宿舍那边要多留几分钟。,,9,0,1,2026/6/12 19:51,2026/6/12 20:00
26,1316,178,25,北京交通大学离主路很近，约人时说清楚哪个门会省不少事。,,1,0,1,2026/4/27 23:20,2026/4/28 19:33
27,1320,58,27,央美不算大，但南北两块容易走混，第一次去最好先看清自己约在哪边。,,1,0,1,2026/5/7 10:08,2026/5/7 10:08
28,1320,161,27,央美旁边就是公园和大路，我第一次差点顺着外面的路绕过去。,,0,0,1,2026/5/3 9:19,2026/5/4 9:46
29,1321,41,29,沙河夹在沙河站和沙河高教园站中间，出地铁还要走一段，第一次来别卡点。,,3,0,1,2026/3/25 21:10,2026/3/25 21:10
30,1321,33,29,雁北像生活区中心，食堂、超市、洗衣房都在那边，日常办事确实方便。,,3,0,1,2026/1/16 20:24,2026/1/16 20:31
31,1322,120,31,北航沙河主路挺好认，体育场和宿舍区那边走法要稍微记一下。,,2,0,1,2026/5/25 0:11,2026/5/25 0:20
32,1322,175,31,北航沙河和北邮沙河离得近，但进了校园感觉完全不是一回事。,,1,0,1,2026/3/26 20:21,2026/3/26 20:21
33,10,89,33,环球项目之间距离不短，带老人或小孩的话别把一天行程塞太满。,,0,0,1,2026/4/15 18:32,2026/4/15 18:32
34,10,140,33,北京环球最好提前想好先玩哪片区，现场临时改主意容易被排队耗住。,,2,0,1,2026/6/12 4:45,2026/6/12 4:45
35,14,176,35,奥森北园安静些，南园对第一次来的人更容易找到标志性景观。,,0,0,1,2026/2/19 20:50,2026/2/19 20:50
36,14,99,35,奥林匹克森林公园骑行和跑步的人都不少，步行时注意别一直走在车道边。,,2,0,1,2026/4/30 19:32,2026/4/30 23:03
37,126,65,37,紫竹院桥多，走着走着就换到另一边湖岸了，还挺有意思。,,1,0,1,2026/5/3 21:25,2026/5/3 21:25
38,126,30,37,紫竹院公园最好留一个不赶的下午，绕湖走一圈比只看门口舒服。,,1,0,1,2026/4/14 7:09,2026/4/14 7:48
39,251,2,39,天安门广场不能当普通公园逛，先把预约和入口看好，不然现场会慌。,,1,0,1,2026/3/24 15:40,2026/3/24 15:40
40,251,170,39,广场本身不绕，但人流一多就不太能随便掉头走。,,0,0,1,2026/6/11 4:03,2026/6/11 4:03
41,815,134,41,农展馆换馆看展时最容易走错门，尤其是临展入口换来换去。,,1,0,1,2026/3/21 9:18,2026/3/21 9:18
42,815,29,41,农展馆我最怕找错馆号，看展前把展厅位置截个图更安心。,,2,0,1,2026/1/26 22:39,2026/1/26 22:39
43,1306,82,43,人大东边那块第一次去有点分不清，问路比闷头走快。,,2,0,1,2026/3/24 21:54,2026/3/24 21:54
44,1307,138,43,清华只走大路会绕，很多学生都是从楼间小道穿过去。,,4,0,1,2026/5/25 23:29,2026/5/25 23:29
45,1308,95,45,北大赶时间和闲逛完全是两种走法，未名湖边一绕时间就没了。,,0,0,1,2026/4/11 16:23,2026/4/11 16:32
46,1309,170,45,北体场馆名字多，约人时最好说清是哪个门附近。,,2,0,1,2026/5/16 0:08,2026/5/16 0:08
47,1310,134,47,中农饭点从教学楼去食堂的人很多，跟着走基本不会错。,,1,0,1,2026/5/9 20:33,2026/5/9 20:33
48,1312,49,47,北师大从地铁出来挺方便，但进校后小岔口比想象中多。,,16,0,1,2026/5/26 22:34,2026/5/26 22:34
49,1313,20,49,本部食堂选择比想象多，老食堂、新食堂、教工餐厅都有，赶课时不用出校吃。,,0,0,1,2026/6/12 18:47,2026/6/12 18:47
50,1316,103,49,北交校园从主门进去方向感还可以，往学院楼走时岔路会变多。,,5,0,1,2026/4/15 16:09,2026/4/15 16:09
51,1320,161,51,央美看着小，真到现场会发现校区边界有点绕。,,1,0,1,2026/4/24 20:27,2026/4/24 20:27
52,1321,132,51,雁南宿舍更新更宽些，但吃饭买东西还是常往雁北跑。,,1,0,1,2026/6/2 21:26,2026/6/2 21:26
53,1322,18,53,北航沙河主路好认，去体育场那边我还是看了一眼地图。,,2,0,1,2026/5/27 17:01,2026/5/27 17:01
54,1307,57,53,清华别以为到校门就结束了，进门后找具体学院还要走好久。,,0,0,1,2026/3/15 21:29,2026/3/15 21:29
55,1308,52,55,北大不能只按最短距离走，有些地方绕湖过去体验会好很多。,,3,0,1,2026/3/22 13:02,2026/3/22 13:02
56,10,132,55,环球热门项目排队波动很大，提前看官方 App 等候时间会省不少力气。,,19,0,1,2026/5/23 20:30,2026/5/23 20:30
57,10,44,57,城市大道吃饭选择多，但真正进园之后再折返会很耗时间。,,0,0,1,2026/5/21 8:39,2026/5/21 8:39
58,10,155,57,环球最好按区域串项目，来回横穿园区真的会累。,,1,0,1,2026/6/7 21:20,2026/6/7 21:20
59,14,158,59,奥森南园对第一次来的人更友好，北园更像日常散步和长距离跑步的地方。,,0,0,1,2026/3/1 8:09,2026/3/1 16:51
60,14,17,59,奥森跑步的人多，慢走的时候最好靠边点，别挡在跑道上。,,15,0,1,2026/3/1 13:48,2026/3/1 13:48
61,126,65,61,紫竹院沿湖慢慢绕更舒服，桥多水面多，夏天比硬走街道强。,,2,0,1,2026/4/9 12:44,2026/4/9 12:44
62,126,98,61,紫竹院最适合从一个门进、另一个门出，原路返回会少看很多景。,,5,0,1,2026/2/7 13:19,2026/2/7 13:19
63,251,164,63,去天安门广场最重要的是先确认预约和证件，到了现场再补救很麻烦。,,2,0,1,2026/6/12 20:43,2026/6/12 20:43
64,251,172,63,广场路线本身不复杂，真正影响体验的是安检口和人流组织。,,16,0,1,2026/4/4 7:59,2026/4/4 7:59
65,815,87,65,农展馆地铁出来很方便，但不同展会入口可能不一样，最好看清展馆号。,,0,0,1,2026/3/14 18:53,2026/3/15 4:44
66,815,178,65,农展馆几个馆来回切换时鞋子要舒服点，不然看完展脚先累了。,,1,0,1,2026/4/22 19:31,2026/4/22 19:31
67,1307,28,67,清华别只盯着二校门拍照，走到院系那边才知道校园有多大。,,1,0,1,2026/2/22 22:50,2026/2/22 22:51
68,1307,35,67,清华骑车和步行完全是两种体验，借不到车就别排太满。,,0,0,1,2026/5/6 13:41,2026/5/6 13:41
69,1308,35,69,北大未名湖附近应该慢走，赶时间时别硬绕景观区。,,1,0,1,2026/3/1 20:23,2026/3/1 20:23
70,1308,152,69,北大有些门和校内道路不是随便走的，实际入口一定要保留。,,3,0,1,2026/2/24 0:47,2026/2/24 1:00
71,1306,59,71,人大看着方正，宿舍到教学楼还是有几段容易走岔。,,0,2,1,2026/4/27 17:17,2026/4/27 17:17
72,1312,95,71,北师大不大，但楼名和院名太多，第一次找教室会绕。,,1,0,1,2026/6/12 18:24,2026/6/12 18:24
73,1313,10,73,去西土城校区一定看清校门，高德评价里就有人说被导航带到家属院。,,1,0,1,2026/3/31 19:03,2026/3/31 19:03
74,1321,170,73,沙河住宿条件比本部舒服，缺点是离城里远，想进城玩要多留往返时间。,,3,0,1,2026/1/15 20:15,2026/1/18 2:04
75,1322,169,75,北航沙河路好认，就是有些小口子不注意会直接走过。,,10,0,1,2026/6/7 13:42,2026/6/7 13:42
76,1320,35,75,央美旁边道路太近了，第一次去我一直确认自己有没有走出校区。,,1,0,1,2026/3/24 18:59,2026/3/24 18:59
77,1316,43,77,北交校门外车流挺大，进校园后反差还挺明显。,,2,0,1,2026/2/17 7:21,2026/2/17 7:21
78,1310,67,77,中农更像日常生活型校园，食堂和宿舍这些点比景点更重要。,,2,0,1,2026/5/17 22:10,2026/5/17 22:10
79,1309,147,79,北体约在场馆见面一定要说全名，不然两个操场能把人绕晕。,,0,0,1,2026/2/6 22:08,2026/2/6 22:08
80,11,84,79,齐白石旧居纪念馆不大，展陈很集中，顺路安排半小时到一小时就够。,,0,0,1,2026/3/2 13:59,2026/3/2 20:12
81,11,31,81,齐白石旧居门脸不大，第一次去最好多看一眼门牌。,,1,0,1,2026/1/24 20:31,2026/1/24 20:31
82,12,173,81,北京天桥艺术中心要和演出时间一起看，单独当景点逛意义不大。,,65,0,1,2026/2/17 21:06,2026/2/17 21:06
83,12,140,83,天桥艺术中心周边交通方便，但看完演出散场时人会比较集中。,,1,0,1,2026/5/6 20:49,2026/5/6 20:49
84,13,75,83,北京世园公园面积很大，最好提前想好是看花园还是只散步。,,2,0,1,2026/4/27 23:19,2026/4/27 23:21
85,13,114,85,世园公园晴天去更值，园区大，临时乱走会耗体力。,,1,0,1,2026/4/12 22:48,2026/4/12 22:48
86,19,140,85,法国邮政局旧址更偏历史建筑爱好者，路过看一眼就差不多。,,0,0,1,2026/2/11 11:25,2026/2/11 11:32
87,20,98,87,皇极殿最好跟着故宫整体动线看，单独冲过去有点割裂。,,9,0,1,2026/3/15 18:49,2026/3/15 20:54
88,32,176,87,养心殿信息量很大，提前了解一点背景会比现场只看牌子更有收获。,,10,0,1,2026/4/30 13:06,2026/4/30 13:06
89,39,13,89,漪澜堂要慢慢看建筑和水景，赶路式打卡会错过味道。,,0,0,1,2026/2/10 11:48,2026/2/10 11:48
90,45,79,89,绮望楼别专门绕太远，和旁边景点顺着看更舒服。,,3,0,1,2026/4/19 22:54,2026/4/19 22:54
91,75,139,91,十三陵定陵比普通公园更需要讲解背景，单看路线不难但理解成本高。,,1,0,1,2026/3/4 7:43,2026/3/4 7:51
92,75,86,91,去定陵要预留交通时间，景区本身节奏倒不算特别赶。,,1,0,1,2026/5/7 15:09,2026/5/7 15:09
93,100,149,93,国子监街步行体验不错，街区氛围比单个景点更重要。,,1,0,1,2026/4/24 12:05,2026/4/24 12:05
94,100,95,93,国子监街最好和孔庙、雍和宫一带一起安排，单独去有点短。,,3,0,1,2026/5/22 10:53,2026/5/22 10:53
95,107,123,95,斋堂城遗址偏小众，对历史遗迹有兴趣的人会更买账，纯拍照可能嫌短。,,3,0,1,2026/4/9 22:16,2026/4/9 23:46
96,164,176,95,北京孔庙要留时间看碑刻和院落，游客不多时体验会好很多。,,0,0,1,2026/3/29 21:51,2026/3/29 21:51
97,164,28,97,孔庙和国子监街放同一天正好，走完也不太累。,,2,0,1,2026/2/2 14:11,2026/2/2 14:11
98,218,77,97,阳平会馆戏楼这种老建筑不显眼，但喜欢城市历史的人会觉得有意思。,,0,0,1,2026/3/8 13:11,2026/3/8 13:11
99,228,176,99,总理衙门要配合近代史背景看，否则现场容易只是看建筑外观。,,2,0,1,2026/6/3 6:45,2026/6/3 6:45
100,240,176,99,和敬公主府安静但不算大众景点，放进胡同或历史建筑行程里更自然。,,3,0,1,2026/2/23 1:57,2026/2/23 1:57
101,281,98,101,繁星戏剧村更像看演出的地方，单纯路过逛一圈意思不大。,,15,0,1,2026/4/1 11:30,2026/4/1 11:30
102,305,142,101,梨园剧场面向对京剧感兴趣的游客，第一次看建议先了解演出时长。,,1,0,1,2026/1/18 22:56,2026/1/18 22:56
103,326,132,103,广济寺闹中取静，参观时保持安静比拍照更重要。,,1,0,1,2026/6/7 11:44,2026/6/7 13:53
104,326,95,103,广济寺交通方便，和西四附近的老城行程放在一起很顺。,,2,0,1,2026/5/2 11:42,2026/5/2 11:42
105,376,66,105,泾县会馆旧址偏小众，可以当作城市历史行程里的补充点。,,0,0,1,2026/4/23 21:51,2026/4/23 21:51
106,486,125,105,四季青果林所观光采摘园更看季节，去之前最好确认还能不能采摘。,,1,0,1,2026/5/10 21:40,2026/5/10 21:40
107,514,8,107,北京卧佛寺环境安静，慢慢走更舒服，赶时间打卡会有点可惜。,,2,0,1,2026/6/1 20:03,2026/6/1 20:37
108,601,147,107,白浮泉湿地公园可以散步看水景，雨后去可能会更舒服。,,1,1,1,2026/5/15 12:41,2026/5/15 12:41
109,652,92,109,梧桐岭风景区有些路段要注意脚下，天气不好时不建议硬去。,,2,0,1,2026/2/17 18:59,2026/2/17 18:59
110,697,35,109,北京金台艺术馆偏小型艺术空间，别按大馆预期去。,,0,2,1,2026/5/4 11:37,2026/5/4 11:37
111,702,63,111,大韵堂美术馆更像顺路看展的点，单独远路过去要先查展览内容。,,37,0,1,2026/6/1 18:48,2026/6/1 18:48
112,717,166,111,中国传媒博物馆主题明确，对传媒和影视感兴趣的人会更有收获。,,2,0,1,2026/6/7 17:23,2026/6/7 17:23
113,730,21,113,悦美术馆规模不大，看完附近其他点后顺路进去就好。,,1,2,1,2026/4/19 11:39,2026/4/19 11:39
114,756,47,113,东方梅地亚中心M剧场主要看演出安排，场地本身不是纯观光点。,,0,0,1,2026/5/2 8:52,2026/5/2 8:52
115,790,22,115,松榆里公园更像社区公园，附近居民散步不错，不必特意远道而来。,,2,0,1,2026/2/10 7:02,2026/2/10 7:02
116,834,77,115,北京朝阳剧场一般安排在晚上，周边吃饭和交通要先看一下。,,2,0,1,2026/3/19 12:38,2026/3/19 12:38
117,860,140,117,朝来农艺园主打亲子和采摘，季节比怎么走更影响体验。,,0,0,1,2026/4/16 17:27,2026/4/16 17:27
118,917,64,117,兰花文化休闲公园更像附近散步点，专程去的话期待别太满。,,1,0,1,2026/3/12 12:09,2026/3/12 12:09
119,944,19,119,昊天公园规模适中，周边居民日常活动和短时间散步都方便。,,0,0,1,2026/6/12 17:29,2026/6/12 17:29
120,982,136,119,太扬公园不算热门，但安静这一点本身就是优点。,,0,0,1,2026/5/6 21:31,2026/5/6 21:31
121,1042,176,121,槐新公园偏附近休闲，路不复杂，评论能帮人判断是否值得绕路。,,1,0,1,2026/4/25 21:35,2026/4/25 21:35
122,1047,77,121,北京国际露营公园偏亲子和轻露营，出发前要确认开放和预约情况。,,0,0,1,2026/5/12 16:38,2026/5/12 16:38
123,1132,130,123,聚灵峡景区对体力有要求，建议看天气和路况再决定。,,1,0,1,2026/2/9 13:48,2026/2/9 13:48
124,1239,28,123,三羊古火山景区偏自然和地貌体验，愿意多走路的人会更有收获。,,5,0,1,2026/5/29 3:09,2026/5/29 3:09
125,1245,14,125,轩辕台更偏历史文化行程，只想看热闹的人可能会觉得平。,,1,0,1,2026/6/2 20:59,2026/6/2 20:59
126,1272,59,125,东润鑫艺园这种点要看具体活动，平时去可能体验比较平。,,2,0,1,2026/3/16 11:19,2026/3/16 11:19
127,1282,156,127,运河苑温泉水世界更看季节和同行人群，亲子会更合适。,,0,0,1,2026/5/16 13:07,2026/5/16 13:07
128,1287,65,127,海豚湾婴幼儿水育馆目标人群很明确，不带小朋友就没必要专门去。,,1,0,1,2026/5/22 13:55,2026/5/22 14:22
129,15,142,129,富国海底世界的海底隧道对小朋友挺有吸引力，周末去最好避开下午人多的时候。,,2,0,1,2026/6/7 19:27,2026/6/7 19:27
130,15,57,129,场馆不算特别新，但鲨鱼和隧道还挺好拍，带孩子去比成年人单独去更值。,,2,0,1,2026/3/3 19:44,2026/3/3 19:44
131,16,61,131,古北水镇晚上灯亮起来以后氛围很好，别只白天逛一圈就走。,,1,0,1,2026/2/12 12:21,2026/2/12 22:16
132,16,179,131,想看司马台长城夜景的话体力要留一点，水镇里走多了也挺累。,,2,0,1,2026/2/4 13:13,2026/2/4 13:13
133,21,81,133,神武门更像故宫北边的收尾点，从这里出来接景山公园很顺。,,0,0,1,2026/4/25 12:42,2026/4/25 12:42
134,21,80,133,走到神武门时基本已经逛累了，别把后面行程排得太紧。,,3,0,1,2026/5/10 20:56,2026/5/10 20:56
135,23,176,135,午门前面拍照很出片，但排队和安检也集中，早到体验差很多。,,5,0,1,2026/4/23 19:17,2026/4/23 19:17
136,23,102,135,第一次进故宫从午门进去很有仪式感，抬头看到城楼那一下还是会被震住。,,0,0,1,2026/4/28 6:33,2026/4/28 6:33
137,24,146,137,西打磨厂街比前门大街安静些，适合顺着老街慢慢看门脸。,,1,0,1,2026/4/7 17:28,2026/4/7 17:28
138,24,34,137,这里不是那种热闹打卡街，喜欢老北京街巷的人会更有感觉。,,0,0,1,2026/3/16 21:43,2026/3/16 21:43
139,27,79,139,御花园面积不大，人一多就走得慢，拍古树和假山要有点耐心。,,21,0,1,2026/6/12 21:37,2026/6/12 21:37
140,27,16,139,把御花园放在故宫最后看刚好，累了也能找点阴影缓一缓。,,1,0,1,2026/5/19 11:33,2026/5/19 11:34
141,33,19,141,太和殿人一直多，站远一点看反而更能看出气势。,,5,0,1,2026/3/10 18:26,2026/3/10 18:26
142,33,135,141,第一次看太和殿还是挺震撼的，就是想拍到没人基本别抱希望。,,0,0,1,2026/4/25 18:52,2026/4/25 18:52
143,36,84,143,袁崇焕祠墓地方不大，适合对明史感兴趣的人专门去看看。,,1,0,1,2026/3/8 18:00,2026/3/8 18:00
144,36,170,143,这个点最好提前了解一点背景，不然现场看完会觉得信息量不够。,,2,0,1,2026/2/2 8:55,2026/2/2 9:11
145,37,65,145,北锣鼓巷比南锣鼓巷安静不少，随便走走比赶着打卡舒服。,,1,0,1,2026/5/7 18:50,2026/5/7 18:50
146,37,161,145,胡同里小店不算密，适合饭后散步，不适合抱着逛商业街的期待去。,,0,0,1,2026/5/13 17:56,2026/5/13 17:56
147,121,12,147,罗红摄影艺术馆更像拍照和看展结合，庭院部分比我想象中精致。,,2,0,1,2026/5/9 22:32,2026/5/9 22:32
